Cod_Matricula;Descricao_Curso;Modalidade;Instituicao;Ultimo_Periodo_Letivo;Idade;Sexo;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Tempo;Cor;CR;Fez_Estágio
47;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;16;M;Evadido;Ampla Concorrência;2005/2;2;BRA;;Não
48;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
49;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;27;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
50;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;22;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
51;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;25;M;Evadido;Ampla Concorrência;2005/2;2,5;PAR;;Não
52;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/2;21;M;Concluído;Ampla Concorrência;2005/2;3,5;NEG;;Sim
53;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;37;M;Evadido;Ampla Concorrência;2005/2;2,5;NEG;;Não
54;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;27;F;Evadido;Ampla Concorrência;2005/2;2;PAR;;Não
55;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;PAR;;Sim
56;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;23;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
57;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2009/2;32;M;Evadido;Ampla Concorrência;2005/2;4,5;BRA;;Sim
58;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;16;M;Concluído;Ampla Concorrência;2005/2;2,5;BRA;;Sim
59;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;20;M;Evadido;Ampla Concorrência;2005/2;2;BRA;;Não
60;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;16;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
